Categorie,Produs,Stoc minim
Fructe + Verdeață,Lămâi,
Fructe + Verdeață,Lime,
Fructe + Verdeață,Portocale,
Fructe + Verdeață,Mentă,
Fructe + Verdeață,Banane,
Consumabile Bar,Paie,
Consumabile Bar,Zahăr,
Consumabile Bar,Paletine,
Consumabile Bar,Pahare 150ml + capace,
Consumabile Bar,Pahare 300ml + capace,
Consumabile Bar,Pahare 400ml + capace,
Consumabile Bar,Pahare Limonadă + capace,
Consumabile Băi + Cleaning,Saci 60L,
Consumabile Băi + Cleaning,Saci 30L,
Consumabile Băi + Cleaning,Mănuși M/S,
Consumabile Băi + Cleaning,Săpun mâini,
Consumabile Băi + Cleaning,Săpun de vase,
Consumabile Băi + Cleaning,Hârtie mâini baie/bar,
Consumabile Băi + Cleaning,Soluție mop,
Consumabile Băi + Cleaning,Soluție spray,
Consumabile Băi + Cleaning,Clor,
Consumabile Băi + Cleaning,Dezinfectant,
Consumabile Băi + Cleaning,Microfibre + lavete,
Consumabile Băi + Cleaning,Cap de mop,
Consumabile Băi + Cleaning,Bureți vase,
Consumabile Băi + Cleaning,Parfumate WC,
Bucătărie,Caputo roșu,
Bucătărie,Caputo albastru,
Bucătărie,Semola,
Bucătărie,Sos roșii,
Bucătărie,Busuioc mic,
Bucătărie,Busuioc mare,
Bucătărie,Salam dolce,
Bucătărie,Salam picant,
Bucătărie,Drojdie,
Bucătărie,Ulei,
Bucătărie,Sos picant,
Bucătărie,Mozzarella,
Bucătărie,Sare,
Bucătărie,Paline,
Bere,Corona,
Bere,Ursus,
Bere,Ursus 0%,
Bere,Ursus nefiltrată,
Bere,Peroni,
Bere,Ursus Cooler,
Bere,Peroni KEG (tap),
Sucuri Limonade,Portocale,
Sucuri Limonade,Piersici,
Sucuri Limonade,Ananas,
Sucuri Limonade,Măr,
Sucuri Limonade,Cranberry,
Sucuri Limonade,Sprite,
Sucuri Limonade,Schweppes,
Sucuri Limonade,Aloe Vera,
Sucuri Limonade,Sclipici,
Sucuri Limonade,Ceai fasolea fluturilor,
Sucuri Limonade,Matcha,
Sucuri (mixere),"Cola 0,5L",
Sucuri (mixere),"Apă tonică 0,5L",
Sucuri (mixere),"Apă tonică roz 0,5L",
Sucuri (mixere),"Apă minerală 0,5L",
Spirtoase,Finlandia (Vodka),
Spirtoase,Jameson (Whiskey),
Spirtoase,Wild Turkey (Whiskey),
Spirtoase,Jose Cuervo (Tequila),
Spirtoase,Martell VS (Cognac),
Spirtoase,Aperol,
Ginuri,Beefeater Dry,
Ginuri,Tanqueray Classic,
Ginuri,Tanqueray 0%,
Ginuri,Beefeater Pink,
Ginuri,Bombay,
Sucuri Gama Cola,Cola,
Sucuri Gama Cola,Cola 0%,
Sucuri Gama Cola,Fanta,
Sucuri Gama Cola,Sprite,
Sucuri Gama Cola,Schweppes,
Sucuri Gama Cola,Schweppes Pink,
Sucuri Gama Cola,Dorna plată,
Sucuri Gama Cola,Dorna minerală,
Lichior,Disaronno,
Lichior,Kahlua,
Lichior,Triple Sec Curacao,
Lichior,Jägermeister,
Prosecco & Vinuri,LaSalute,
Prosecco & Vinuri,Caloian Alb,
Prosecco & Vinuri,Caloian Rose,
Prosecco & Vinuri,Caloian Roșu,
Prosecco & Vinuri,Purcari Nocturne Alb,
Prosecco & Vinuri,Purcari Nocturne Rose,
Prosecco & Vinuri,Purcari Nocturne Roșu,
Prosecco & Vinuri,Rose demidulce,
Siropuri / Piureuri,Caramel,
Siropuri / Piureuri,Caramel sărat,
Siropuri / Piureuri,Ciocolată,
Siropuri / Piureuri,Vanilie,
Siropuri / Piureuri,Hazelnut,
Siropuri / Piureuri,Tiramisu,
Siropuri / Piureuri,Coconut,
Siropuri / Piureuri,Mint,
Siropuri / Piureuri,Soc,
Siropuri / Piureuri,Grenadine,
Siropuri / Piureuri,Le Blue,
Siropuri / Piureuri,piure Passion,
Siropuri / Piureuri,piure Wildberry,
Siropuri / Piureuri,piure Raspberry,
Siropuri / Piureuri,piure Strawberry,
Consumabile Cafea,Cafea,
Consumabile Cafea,Cafea Deco,
Consumabile Cafea,Lapte,
Consumabile Cafea,Lapte vegan,
Consumabile Cafea,Frișcă,
Consumabile Cafea,Ciocolată,
Consumabile Cafea,Ceaiuri,
Consumabile Cafea,Zahăr KG,
Consumabile Cafea,Piscoturi,
Consumabile Cafea,Patroane frișcă,
Consumabile Cafea,Plicuri scorțișoară/chili/cacao,
Consumabile Cafea,Miere,
Consumabile Cafea,Zahăr plic,
